nbOpes,type,time
90000,localWithRename,136697
10000,local,127549
90000,remoteWithRename,301738
10000,remote,247082
90000,remoteConcurrentToRename,262298
10000,local,116122
10000,remote,247484
10000,local,123680
10000,remote,283900
10000,local,134921
10000,remote,289792
10000,local,129730
10000,remote,249458
10000,local,142042
10000,remote,289868
10000,local,143253
10000,remote,277538
10000,local,139410
10000,remote,249317
10000,local,131951
10000,remote,259216
10000,local,116140
10000,remote,275825
10000,local,142545
10000,remote,286206
10000,local,136853
10000,remote,261895
10000,local,154717
10000,remote,315110
10000,local,134422
10000,remote,246499
10000,local,148522
10000,remote,290591
10000,local,135244
10000,remote,236959
10000,local,123327
10000,remote,249916
10000,local,131761
10000,remote,264009
10000,local,117231
10000,remote,288371
10000,local,128291
10000,remote,246492
10000,local,138868
10000,remote,236982
10000,local,135885
10000,remote,292782
10000,local,131136
10000,remote,262952
10000,local,139725
10000,remote,174460
10000,local,128941
10000,remote,271190
10000,local,129981
10000,remote,213030
10000,local,134613
10000,remote,307219
10000,local,127211
10000,remote,276696
10000,local,130739
10000,remote,322401
10000,local,131228
10000,remote,235264
10000,local,133257
10000,remote,290755
10000,local,132999
10000,remote,247966
10000,local,136829
10000,remote,297960
10000,local,147730
10000,remote,4050400
10000,local,150326
10000,remote,323555
10000,local,145563
10000,remote,299935
10000,local,137216
10000,remote,320238
10000,local,138875
10000,remote,383037
10000,local,138172
10000,remote,290150
10000,local,144576
10000,remote,310488
10000,local,128224
10000,remote,283576
10000,local,4240793
10000,remote,273629
10000,local,143192
10000,remote,314612
10000,local,159881
10000,remote,370661
10000,local,142273
10000,remote,253540
10000,local,140753
10000,remote,269135
10000,local,157115
10000,remote,308822
10000,local,140913
10000,remote,265406
10000,local,129961
10000,remote,284646
10000,local,150941
10000,remote,342122
10000,local,123720
10000,remote,249668
10000,local,162865
10000,remote,359282
10000,local,140963
10000,remote,382204
10000,local,151265
10000,remote,367734
10000,local,135672
10000,remote,293653
10000,local,140362
10000,remote,277105
10000,local,147683
10000,remote,345103
10000,local,168608
10000,remote,213070
10000,local,134050
10000,remote,247761
10000,local,142438
10000,remote,315728
10000,local,130699
10000,remote,197750
10000,local,132615
10000,remote,265222
10000,local,129027
10000,remote,238374
10000,local,139924
10000,remote,282123
10000,local,137376
10000,remote,261553
10000,local,143664
10000,remote,158477
10000,local,122171
10000,remote,247353
10000,local,126663
10000,remote,300397
10000,local,149920
10000,remote,309541
10000,local,141980
10000,remote,282339
10000,local,128981
10000,remote,257278
10000,local,137556
10000,remote,227200
10000,local,140726
10000,remote,280508
10000,local,158944
10000,remote,310905
10000,local,133560
10000,remote,264512
10000,local,132997
10000,remote,170415
10000,local,138683
10000,remote,298038
10000,local,123447
10000,remote,288568
10000,local,124116
10000,remote,243444
10000,local,115386
10000,remote,245080
10000,local,810712
10000,remote,284449
10000,local,145888
10000,remote,190807
10000,local,132818
10000,remote,252224
10000,local,137544
10000,remote,332748
10000,local,148303
10000,remote,316242
10000,local,142097
10000,remote,310817
10000,local,137337
10000,remote,211907
10000,local,132892
10000,remote,363362
10000,local,132454
10000,remote,182378
10000,local,170794
10000,remote,290241
10000,local,150450
10000,remote,315268
10000,local,128442
10000,remote,256371
10000,local,168061
10000,remote,402542
10000,local,128354
10000,remote,365191
10000,local,130504
10000,remote,309713
10000,local,123935
10000,remote,203192
10000,local,152850
10000,remote,308963
10000,local,139808
10000,remote,237219
10000,local,156737
10000,remote,417899
10000,local,143715
10000,remote,305745
10000,local,145020
10000,remote,310515
10000,local,143961
10000,remote,248748
10000,local,141657
10000,remote,331343
10000,local,156258
10000,remote,400673
10000,local,141347
10000,remote,268203
10000,local,151179
10000,remote,396569
10000,local,129600
10000,remote,336717
10000,local,131926
10000,remote,159497
10000,local,148480
10000,remote,343010
10000,local,149906
10000,remote,312545
10000,local,147355
10000,remote,316170
10000,local,140787
10000,remote,299257
10000,local,137831
10000,remote,207046
10000,local,134932
10000,remote,222351
10000,local,142605
10000,remote,3322632
10000,local,134952
10000,remote,239590
10000,local,150046
10000,remote,418681
10000,local,146766
10000,remote,313444
10000,local,132129
10000,remote,351511
10000,local,148434
10000,remote,273992
100000,local,199644
100000,remote,511404
100000,local,168001
100000,remote,428146
100000,local,161151
100000,remote,462134
100000,local,163052
100000,remote,392680
100000,local,164923
100000,remote,405565
100000,local,1810483
100000,remote,383326
100000,local,141400
100000,remote,403859
100000,local,169969
100000,remote,437645
100000,local,163284
100000,remote,340071
100000,local,147846
100000,remote,312609
100000,local,157684
100000,remote,330315
100000,local,150128
100000,remote,382603
100000,local,191841
100000,remote,459672
100000,local,171641
100000,remote,374485
100000,local,167634
100000,remote,384753
100000,local,149414
100000,remote,315622
100000,local,170400
100000,remote,418707
100000,local,174649
100000,remote,424111
100000,local,165024
100000,remote,363980
100000,local,155454
100000,remote,335849
100000,local,308942
100000,remote,497302
100000,local,193311
100000,remote,477144
100000,local,572875
100000,remote,474196
100000,local,177109
100000,remote,439632
100000,local,187896
100000,remote,471353
100000,local,152475
100000,remote,472772
100000,local,158460
100000,remote,412547
100000,local,159109
100000,remote,315238
100000,local,170966
100000,remote,363368
100000,local,149235
100000,remote,365277
100000,local,181001
100000,remote,486550
100000,local,157955
100000,remote,346474
100000,local,179074
100000,remote,495483
100000,local,183190
100000,remote,468789
100000,local,169864
100000,remote,396340
100000,local,138701
100000,remote,380058
100000,local,158463
100000,remote,360002
100000,local,186511
100000,remote,411586
100000,local,161912
100000,remote,344176
100000,local,143494
100000,remote,364487
100000,local,156567
100000,remote,338727
100000,local,1493864
100000,remote,354850
100000,local,173399
100000,remote,456449
100000,local,175998
100000,remote,412894
100000,local,176764
100000,remote,430276
100000,local,178257
100000,remote,430663
100000,local,185044
100000,remote,426893
100000,local,151650
100000,remote,333173
100000,local,239974
100000,remote,316685
100000,local,157267
100000,remote,403565
100000,local,150640
100000,remote,414076
100000,local,165425
100000,remote,409645
100000,local,170951
100000,remote,584542
100000,local,152957
100000,remote,412625
100000,local,172153
100000,remote,364452
100000,local,164436
100000,remote,406217
100000,local,177336
100000,remote,456662
100000,local,154614
100000,remote,285481
100000,local,155198
100000,remote,423313
100000,local,160152
100000,remote,446675
100000,local,139380
100000,remote,327070
100000,local,164457
100000,remote,308938
100000,local,183449
100000,remote,418531
100000,local,165294
100000,remote,334189
100000,local,183614
100000,remote,461962
100000,local,160566
100000,remote,269527
100000,local,161376
100000,remote,385543
100000,local,157024
100000,remote,272170
100000,local,260263
100000,remote,376002
100000,local,209582
100000,remote,521114
100000,local,150633
100000,remote,333054
100000,local,167722
100000,remote,334736
100000,local,154089
100000,remote,441074
100000,local,188757
100000,remote,497572
100000,local,174847
100000,remote,347581
100000,local,170218
100000,remote,389980
100000,local,181491
100000,remote,402021
100000,local,186946
100000,remote,525593
100000,local,171437
100000,remote,374267
100000,local,151111
100000,remote,370183
100000,local,167608
100000,remote,453501
100000,local,1494534
100000,remote,379568
100000,local,167884
100000,remote,341793
100000,local,154527
100000,remote,429393
100000,local,239506
100000,remote,499315
100000,local,165509
100000,remote,461762
100000,local,158463
100000,remote,342875
100000,local,164533
100000,remote,288608
100000,local,184417
100000,remote,405123
100000,local,165434
100000,remote,426303
100000,local,155114
100000,remote,458409
100000,local,189668
100000,remote,302477
100000,local,159505
100000,remote,511877
100000,local,173372
100000,remote,432029
100000,local,185890
100000,remote,435193
100000,local,240412
100000,remote,430439
100000,local,154344
100000,remote,292638
100000,local,161114
100000,remote,499705
100000,local,158600
