nbOpes,type,time
10000,local,127549
10000,remote,247082
10000,remoteConcurrentToRename,206712
10000,local,116122
10000,remote,247484
10000,remoteConcurrentToRename,209510
10000,local,123680
10000,remote,283900
10000,remoteConcurrentToRename,212803
10000,local,134921
10000,remote,289792
10000,remoteConcurrentToRename,223648
10000,local,129730
10000,remote,249458
10000,remoteConcurrentToRename,229991
10000,local,142042
10000,remote,289868
10000,remoteConcurrentToRename,242038
10000,local,143253
10000,remote,277538
10000,remoteConcurrentToRename,214976
10000,local,139410
10000,remote,249317
10000,remoteConcurrentToRename,224382
10000,local,131951
10000,remote,259216
10000,remoteConcurrentToRename,225650
10000,local,116140
10000,remote,275825
10000,remoteConcurrentToRename,216547
10000,local,142545
10000,remote,286206
10000,remoteConcurrentToRename,244477
10000,local,136853
10000,remote,261895
10000,remoteConcurrentToRename,193271
10000,local,154717
10000,remote,315110
10000,remoteConcurrentToRename,180188
10000,local,134422
10000,remote,246499
10000,remoteConcurrentToRename,210763
10000,local,148522
10000,remote,290591
10000,remoteConcurrentToRename,210174
10000,local,135244
10000,remote,236959
10000,remoteConcurrentToRename,228691
10000,local,123327
10000,remote,249916
10000,remoteConcurrentToRename,214180
10000,local,131761
10000,remote,264009
10000,remoteConcurrentToRename,210273
10000,local,117231
10000,remote,288371
10000,remoteConcurrentToRename,219820
10000,local,128291
10000,remote,246492
10000,remoteConcurrentToRename,233376
10000,local,138868
10000,remote,236982
10000,remoteConcurrentToRename,225796
10000,local,135885
10000,remote,292782
10000,remoteConcurrentToRename,227181
10000,local,131136
10000,remote,262952
10000,remoteConcurrentToRename,228064
10000,local,139725
10000,remote,174460
10000,remoteConcurrentToRename,230087
10000,local,128941
10000,remote,271190
10000,remoteConcurrentToRename,209517
10000,local,129981
10000,remote,213030
10000,remoteConcurrentToRename,223882
10000,local,134613
10000,remote,307219
10000,remoteConcurrentToRename,240085
10000,local,127211
10000,remote,276696
10000,remoteConcurrentToRename,231244
10000,local,130739
10000,remote,322401
10000,remoteConcurrentToRename,233543
10000,local,131228
10000,remote,235264
10000,remoteConcurrentToRename,176192
10000,local,133257
10000,remote,290755
10000,remoteConcurrentToRename,215760
10000,local,132999
10000,remote,247966
10000,remoteConcurrentToRename,229518
10000,local,136829
10000,remote,297960
10000,remoteConcurrentToRename,257454
10000,local,147730
10000,remote,4050400
10000,remoteConcurrentToRename,244544
10000,local,150326
10000,remote,323555
10000,remoteConcurrentToRename,248561
10000,local,145563
10000,remote,299935
10000,remoteConcurrentToRename,197607
10000,local,137216
10000,remote,320238
10000,remoteConcurrentToRename,214796
10000,local,138875
10000,remote,383037
10000,remoteConcurrentToRename,261818
10000,local,138172
10000,remote,290150
10000,remoteConcurrentToRename,236412
10000,local,144576
10000,remote,310488
10000,remoteConcurrentToRename,239080
10000,local,128224
10000,remote,283576
10000,remoteConcurrentToRename,233950
10000,local,4240793
10000,remote,273629
10000,remoteConcurrentToRename,222792
10000,local,143192
10000,remote,314612
10000,remoteConcurrentToRename,248310
10000,local,159881
10000,remote,370661
10000,remoteConcurrentToRename,263261
10000,local,142273
10000,remote,253540
10000,remoteConcurrentToRename,226037
10000,local,140753
10000,remote,269135
10000,remoteConcurrentToRename,229992
10000,local,157115
10000,remote,308822
10000,remoteConcurrentToRename,207642
10000,local,140913
10000,remote,265406
10000,remoteConcurrentToRename,240284
10000,local,129961
10000,remote,284646
10000,remoteConcurrentToRename,240330
10000,local,150941
10000,remote,342122
10000,remoteConcurrentToRename,243897
10000,local,123720
10000,remote,249668
10000,remoteConcurrentToRename,223080
10000,local,162865
10000,remote,359282
10000,remoteConcurrentToRename,218445
10000,local,140963
10000,remote,382204
10000,remoteConcurrentToRename,233998
10000,local,151265
10000,remote,367734
10000,remoteConcurrentToRename,250199
10000,local,135672
10000,remote,293653
10000,remoteConcurrentToRename,212674
10000,local,140362
10000,remote,277105
10000,remoteConcurrentToRename,221703
10000,local,147683
10000,remote,345103
10000,remoteConcurrentToRename,240720
10000,local,168608
10000,remote,213070
10000,remoteConcurrentToRename,233413
10000,local,134050
10000,remote,247761
10000,remoteConcurrentToRename,227685
10000,local,142438
10000,remote,315728
10000,remoteConcurrentToRename,235073
10000,local,130699
10000,remote,197750
10000,remoteConcurrentToRename,210988
10000,local,132615
10000,remote,265222
10000,remoteConcurrentToRename,204750
10000,local,129027
10000,remote,238374
10000,remoteConcurrentToRename,220727
10000,local,139924
10000,remote,282123
10000,remoteConcurrentToRename,222234
10000,local,137376
10000,remote,261553
10000,remoteConcurrentToRename,223256
10000,local,143664
10000,remote,158477
10000,remoteConcurrentToRename,225220
10000,local,122171
10000,remote,247353
10000,remoteConcurrentToRename,216241
10000,local,126663
10000,remote,300397
10000,remoteConcurrentToRename,236194
10000,local,149920
10000,remote,309541
10000,remoteConcurrentToRename,231341
10000,local,141980
10000,remote,282339
10000,remoteConcurrentToRename,214842
10000,local,128981
10000,remote,257278
10000,remoteConcurrentToRename,226885
10000,local,137556
10000,remote,227200
10000,remoteConcurrentToRename,170926
10000,local,140726
10000,remote,280508
10000,remoteConcurrentToRename,217695
10000,local,158944
10000,remote,310905
10000,remoteConcurrentToRename,236608
10000,local,133560
10000,remote,264512
10000,remoteConcurrentToRename,191697
10000,local,132997
10000,remote,170415
10000,remoteConcurrentToRename,207144
10000,local,138683
10000,remote,298038
10000,remoteConcurrentToRename,227768
10000,local,123447
10000,remote,288568
10000,remoteConcurrentToRename,248028
10000,local,124116
10000,remote,243444
10000,remoteConcurrentToRename,198428
10000,local,115386
10000,remote,245080
10000,remoteConcurrentToRename,215651
10000,local,810712
10000,remote,284449
10000,remoteConcurrentToRename,203720
10000,local,145888
10000,remote,190807
10000,remoteConcurrentToRename,239510
10000,local,132818
10000,remote,252224
10000,remoteConcurrentToRename,197233
10000,local,137544
10000,remote,332748
10000,remoteConcurrentToRename,223980
10000,local,148303
10000,remote,316242
10000,remoteConcurrentToRename,230373
10000,local,142097
10000,remote,310817
10000,remoteConcurrentToRename,226855
10000,local,137337
10000,remote,211907
10000,remoteConcurrentToRename,235587
10000,local,132892
10000,remote,363362
10000,remoteConcurrentToRename,251084
10000,local,132454
10000,remote,182378
10000,remoteConcurrentToRename,217240
10000,local,170794
10000,remote,290241
10000,remoteConcurrentToRename,224345
10000,local,150450
10000,remote,315268
10000,remoteConcurrentToRename,235299
10000,local,128442
10000,remote,256371
10000,remoteConcurrentToRename,221923
10000,local,168061
10000,remote,402542
10000,remoteConcurrentToRename,270706
10000,local,128354
10000,remote,365191
10000,remoteConcurrentToRename,242030
10000,local,130504
10000,remote,309713
10000,remoteConcurrentToRename,257117
10000,local,123935
10000,remote,203192
10000,remoteConcurrentToRename,222256
10000,local,152850
10000,remote,308963
10000,remoteConcurrentToRename,229420
10000,local,139808
10000,remote,237219
10000,remoteConcurrentToRename,218918
10000,local,156737
10000,remote,417899
10000,remoteConcurrentToRename,247863
10000,local,143715
10000,remote,305745
10000,remoteConcurrentToRename,215239
10000,local,145020
10000,remote,310515
10000,remoteConcurrentToRename,234741
10000,local,143961
10000,remote,248748
10000,remoteConcurrentToRename,228187
10000,local,141657
10000,remote,331343
10000,remoteConcurrentToRename,234839
10000,local,156258
10000,remote,400673
10000,remoteConcurrentToRename,282645
10000,local,141347
10000,remote,268203
10000,remoteConcurrentToRename,209358
10000,local,151179
10000,remote,396569
10000,remoteConcurrentToRename,260347
10000,local,129600
10000,remote,336717
10000,remoteConcurrentToRename,232146
10000,local,131926
10000,remote,159497
10000,remoteConcurrentToRename,174865
10000,local,148480
10000,remote,343010
10000,remoteConcurrentToRename,237948
10000,local,149906
10000,remote,312545
10000,remoteConcurrentToRename,270901
10000,local,147355
10000,remote,316170
10000,remoteConcurrentToRename,232460
10000,local,140787
10000,remote,299257
10000,remoteConcurrentToRename,223753
10000,local,137831
10000,remote,207046
10000,remoteConcurrentToRename,226685
10000,local,134932
10000,remote,222351
10000,remoteConcurrentToRename,235551
10000,local,142605
10000,remote,3322632
10000,remoteConcurrentToRename,258696
10000,local,134952
10000,remote,239590
10000,remoteConcurrentToRename,230145
10000,local,150046
10000,remote,418681
10000,remoteConcurrentToRename,286704
10000,local,146766
10000,remote,313444
10000,remoteConcurrentToRename,240278
10000,local,132129
10000,remote,351511
10000,remoteConcurrentToRename,256845
10000,local,148434
10000,remote,273992
10000,remoteConcurrentToRename,260761
100000,local,199644
100000,remote,511404
100000,remoteConcurrentToRename,270676
100000,local,168001
100000,remote,428146
100000,remoteConcurrentToRename,265806
100000,local,161151
100000,remote,462134
100000,remoteConcurrentToRename,291747
100000,local,163052
100000,remote,392680
100000,remoteConcurrentToRename,263994
100000,local,164923
100000,remote,405565
100000,remoteConcurrentToRename,294855
100000,local,1810483
100000,remote,383326
100000,remoteConcurrentToRename,243203
100000,local,141400
100000,remote,403859
100000,remoteConcurrentToRename,263110
100000,local,169969
100000,remote,437645
100000,remoteConcurrentToRename,258640
100000,local,163284
100000,remote,340071
100000,remoteConcurrentToRename,270813
100000,local,147846
100000,remote,312609
100000,remoteConcurrentToRename,250521
100000,local,157684
100000,remote,330315
100000,remoteConcurrentToRename,244607
100000,local,150128
100000,remote,382603
100000,remoteConcurrentToRename,257341
100000,local,191841
100000,remote,459672
100000,remoteConcurrentToRename,244771
100000,local,171641
100000,remote,374485
100000,remoteConcurrentToRename,276124
100000,local,167634
100000,remote,384753
100000,remoteConcurrentToRename,273168
100000,local,149414
100000,remote,315622
100000,remoteConcurrentToRename,238754
100000,local,170400
100000,remote,418707
100000,remoteConcurrentToRename,289158
100000,local,174649
100000,remote,424111
100000,remoteConcurrentToRename,273376
100000,local,165024
100000,remote,363980
100000,remoteConcurrentToRename,280587
100000,local,155454
100000,remote,335849
100000,remoteConcurrentToRename,327775
100000,local,308942
100000,remote,497302
100000,remoteConcurrentToRename,239432
100000,local,193311
100000,remote,477144
100000,remoteConcurrentToRename,300575
100000,local,572875
100000,remote,474196
100000,remoteConcurrentToRename,280011
100000,local,177109
100000,remote,439632
100000,remoteConcurrentToRename,283029
100000,local,187896
100000,remote,471353
100000,remoteConcurrentToRename,301848
100000,local,152475
100000,remote,472772
100000,remoteConcurrentToRename,284668
100000,local,158460
100000,remote,412547
100000,remoteConcurrentToRename,279866
100000,local,159109
100000,remote,315238
100000,remoteConcurrentToRename,232812
100000,local,170966
100000,remote,363368
100000,remoteConcurrentToRename,268296
100000,local,149235
100000,remote,365277
100000,remoteConcurrentToRename,260897
100000,local,181001
100000,remote,486550
100000,remoteConcurrentToRename,302942
100000,local,157955
100000,remote,346474
100000,remoteConcurrentToRename,278631
100000,local,179074
100000,remote,495483
100000,remoteConcurrentToRename,275383
100000,local,183190
100000,remote,468789
100000,remoteConcurrentToRename,254395
100000,local,169864
100000,remote,396340
