nbOpes,type,time
10000,local,5779923
10000,remote,98364372
10000,local,5728122
10000,remote,98847674
10000,local,5918165
10000,remote,102769397
10000,local,8571537
10000,remote,95201804
10000,local,5754760
10000,remote,98704336
10000,local,10873840
10000,remote,107617548
10000,local,6130285
10000,remote,99050378
10000,local,5814454
10000,remote,114378810
10000,local,6225260
10000,remote,102715585
10000,local,5665942
10000,remote,99670784
10000,local,5933607
10000,remote,99140793
10000,local,5830517
10000,remote,104316971
10000,local,5760117
10000,remote,98888380
10000,local,5668590
10000,remote,99721649
10000,local,5981245
10000,remote,102972847
10000,local,9009742
10000,remote,95604753
10000,local,6105689
10000,remote,99035411
10000,local,5966228
10000,remote,103318063
10000,local,6041738
10000,remote,98578442
10000,local,5693121
10000,remote,99787725
10000,local,6129024
10000,remote,103032013
10000,local,5684759
10000,remote,98246246
10000,local,5856519
10000,remote,98666170
10000,local,5801662
10000,remote,104059575
10000,local,5736145
10000,remote,98339433
10000,local,5699538
10000,remote,103321244
10000,local,6424860
10000,remote,102331818
10000,local,5647780
10000,remote,101292268
10000,local,5992254
10000,remote,99036913
10000,local,5802992
10000,remote,106316924
10000,local,5775966
10000,remote,115915676
10000,local,5666303
10000,remote,115489378
10000,local,5976597
10000,remote,102641839
10000,local,9068603
10000,remote,95667654
10000,local,5761241
10000,remote,105310051
10000,local,5937709
10000,remote,108291364
10000,local,5735773
10000,remote,98702378
10000,local,5689197
10000,remote,100123503
10000,local,5982174
10000,remote,101558927
10000,local,9295438
10000,remote,95037238
10000,local,5714279
10000,remote,100915725
10000,local,8142925
10000,remote,109075971
10000,local,5711999
10000,remote,99301247
10000,local,5887900
10000,remote,95952479
10000,local,6104196
10000,remote,103111637
10000,local,8492708
10000,remote,95240807
10000,local,5898389
10000,remote,98270729
10000,local,5958017
10000,remote,100638486
10000,local,5710582
10000,remote,100224139
10000,local,5772990
10000,remote,118988021
10000,local,5946330
10000,remote,103030838
10000,local,5955844
10000,remote,95530092
10000,local,5857949
10000,remote,99572038
10000,local,9205740
10000,remote,101038850
10000,local,5720854
10000,remote,98641679
10000,local,9067146
10000,remote,95762546
10000,local,5971099
10000,remote,107919100
10000,local,5940840
10000,remote,95254965
10000,local,5717620
10000,remote,99300298
10000,local,6087180
10000,remote,107142826
10000,local,5849348
10000,remote,98842545
10000,local,8970289
10000,remote,95745485
10000,local,5969680
10000,remote,102214439
10000,local,5886418
10000,remote,101233546
10000,local,5719460
10000,remote,98122518
10000,local,8249248
10000,remote,109672568
10000,local,5736799
10000,remote,99815147
10000,local,5996113
10000,remote,102198390
10000,local,5959684
10000,remote,110293588
10000,local,5886385
10000,remote,96245063
10000,local,5722129
10000,remote,98559382
10000,local,6121077
10000,remote,101765380
10000,local,5752941
10000,remote,99256879
10000,local,7984290
10000,remote,109322567
10000,local,5958842
10000,remote,106810474
10000,local,5835442
10000,remote,97434495
10000,local,5759698
10000,remote,101100889
10000,local,6105203
10000,remote,106769762
10000,local,5870134
10000,remote,104533786
10000,local,6006255
10000,remote,97136965
10000,local,5961818
10000,remote,103145114
10000,local,5859710
10000,remote,96524141
10000,local,5755210
10000,remote,99091792
10000,local,6058183
10000,remote,101836707
10000,local,5735302
10000,remote,99645709
10000,local,5841232
10000,remote,98449587
10000,local,5968401
10000,remote,103875128
10000,local,5653064
10000,remote,102623664
10000,local,5865261
10000,remote,99408828
10000,local,8439383
10000,remote,108275236
10000,local,5712705
10000,remote,99340158
10000,local,5899409
10000,remote,98706310
10000,local,5975557
10000,remote,102769706
10000,local,5769802
10000,remote,103833036
10000,local,5940769
10000,remote,99730815
10000,local,6068619
10000,remote,102398094
10000,local,5724353
10000,remote,107446406
10000,local,6086755
10000,remote,97443130
10000,local,5964621
10000,remote,102963878
10000,local,5666639
10000,remote,97606787
10000,local,5908999
10000,remote,98060362
10000,local,5889193
10000,remote,101595854
10000,local,8833619
10000,remote,96107891
10000,local,5651392
10000,remote,96997221
10000,local,6174217
10000,remote,102077431
10000,local,5633247
10000,remote,105532052
10000,local,8132087
10000,remote,97646794
10000,local,5825524
10000,remote,101844663
100000,local,61614948
100000,remote,1115122938
100000,local,60240878
100000,remote,1138803469
100000,local,63401744
100000,remote,1128008411
100000,local,60174992
100000,remote,1124054468
100000,local,64180832
100000,remote,1118499442
100000,local,60158174
100000,remote,1169579516
100000,local,61605671
100000,remote,1112177110
100000,local,60105666
100000,remote,1120472031
100000,local,62989658
100000,remote,1123811632
100000,local,59934855
100000,remote,1108386244
100000,local,62244059
100000,remote,1117771287
100000,local,60619409
100000,remote,1165467253
100000,local,64088539
100000,remote,1118534156
100000,local,60101932
100000,remote,1115259742
100000,local,66509988
100000,remote,1126365232
100000,local,60531785
100000,remote,1106868027
100000,local,63253707
100000,remote,1113565410
100000,local,60092139
100000,remote,1163967620
100000,local,60980916
100000,remote,1118434269
100000,local,63704002
100000,remote,1125178290
100000,local,60404133
100000,remote,1120289555
100000,local,61244228
100000,remote,1124513523
100000,local,63435467
100000,remote,1117074280
100000,local,59813860
100000,remote,1176587763
100000,local,60713492
100000,remote,1111275608
100000,local,61396817
100000,remote,1123673435
100000,local,62986969
100000,remote,1123786112
100000,local,60464361
100000,remote,1111978928
100000,local,62573283
100000,remote,1129513706
100000,local,60035547
100000,remote,1164846692
100000,local,64219487
100000,remote,1116930183
100000,local,60272249
100000,remote,1114723192
100000,local,62351327
100000,remote,1124633929
100000,local,60729777
100000,remote,1112147533
100000,local,64638769
100000,remote,1112624372
100000,local,62784079
100000,remote,1157417252
100000,local,62801690
100000,remote,1113277942
100000,local,60997101
100000,remote,1119489580
100000,local,62530105
100000,remote,1126569712
100000,local,60052758
100000,remote,1108895285
100000,local,62770941
100000,remote,1116312664
100000,local,63842069
100000,remote,1162442871
100000,local,60604222
100000,remote,1106707821
100000,local,61686700
100000,remote,1120488671
100000,local,61112463
100000,remote,1123078446
100000,local,62020346
100000,remote,1118179625
100000,local,61608970
100000,remote,1115393494
100000,local,64949442
100000,remote,1165581478
100000,local,59465792
100000,remote,1112814886
100000,local,63791547
100000,remote,1124786037
100000,local,60568474
100000,remote,1122990938
100000,local,61865014
100000,remote,1118993755
100000,local,61615861
100000,remote,1121284682
100000,local,64825443
100000,remote,1167899022
100000,local,60860765
100000,remote,1114838181
100000,local,61667609
100000,remote,1133698561
100000,local,60521175
100000,remote,1125678055
100000,local,62743453
100000,remote,1131378346
100000,local,61060976
100000,remote,1113857311
100000,local,65053715
100000,remote,1182419840
100000,local,59744800
100000,remote,1108805025
100000,local,64387657
100000,remote,1121222321
100000,local,60072838
100000,remote,1122620002
100000,local,61272722
100000,remote,1116547891
100000,local,60873153
100000,remote,1117617319
100000,local,63895104
100000,remote,1163116477
100000,local,59613727
100000,remote,1113492632
100000,local,61899510
100000,remote,1116955743
100000,local,63073623
100000,remote,1122698968
100000,local,61472463
100000,remote,1112502708
100000,local,61564361
100000,remote,1119143609
100000,local,60275723
100000,remote,1162096711
100000,local,61958601
100000,remote,1125971630
100000,local,60334495
100000,remote,1134315817
100000,local,63156576
100000,remote,1124415016
100000,local,61216538
100000,remote,1110905104
100000,local,63373573
100000,remote,1120496926
100000,local,60263933
100000,remote,1170753861
100000,local,62822858
100000,remote,1115420738
100000,local,59910580
100000,remote,1117358291
100000,local,63703009
100000,remote,1122021636
100000,local,61103495
100000,remote,1108559603
100000,local,59266288
100000,remote,1112295040
100000,local,64131106
100000,remote,1170616681
100000,local,61113165
100000,remote,1110910866
100000,local,61767935
100000,remote,1121537739
100000,local,60170041
100000,remote,1120011099
100000,local,63597612
100000,remote,1118088705
100000,local,61472391
100000,remote,1119070582
100000,local,65018400
100000,remote,1165324154
100000,local,59462577
100000,remote,1110282473
100000,local,63636734
100000,remote,1120519872
100000,local,60025316
100000,remote,1124625878
100000,local,61101381
100000,remote,1117880726
100000,local,61021717
100000,remote,1116104296
100000,local,64059628
100000,remote,1164512757
100000,local,60683688
100000,remote,1116244411
100000,local,61802326
100000,remote,1139323843
100000,local,60453111
100000,remote,1157762837
100000,local,62092962
100000,remote,1113372981
100000,local,61383600
100000,remote,1120307787
100000,local,65110887
100000,remote,1163598462
100000,local,59789385
100000,remote,1112074443
100000,local,63461050
100000,remote,1130262317
100000,local,60956393
100000,remote,1121857025
100000,local,61302545
100000,remote,1132244666
100000,local,61308431
100000,remote,1116364378
100000,local,66545003
100000,remote,1201789706
110000,local,61637522
110000,remote,1157904085
110000,local,63315813
110000,remote,1162579299
110000,local,65429441
110000,remote,1163978609
110000,local,65484122
110000,remote,1175378556
110000,local,62660601
110000,remote,1167367515
110000,local,65069678
110000,remote,1210862591
110000,local,65568230
110000,remote,1151694334
110000,local,66897578
110000,remote,1174694473
110000,local,63509344
110000,remote,1170368123
110000,local,67431601
110000,remote,1147807356
110000,local,62045747
110000,remote,1164145900
110000,local,64161983
110000,remote,1207648254
110000,local,65206761
110000,remote,1164254992
110000,local,62141658
110000,remote,1159643105
110000,local,66496983
110000,remote,1176111498
110000,local,64681044
110000,remote,1155051012
110000,local,67859524
110000,remote,1162613890
110000,local,62326087
110000,remote,1210874338
110000,local,65224813
110000,remote,1156721519
110000,local,61916896
110000,remote,1162362269
110000,local,64939529
110000,remote,1170560373
110000,local,65013492
110000,remote,1158449475
110000,local,61985465
110000,remote,1166114184
110000,local,65584248
110000,remote,1209051028
110000,local,65326816
110000,remote,1155191893
110000,local,66241718
110000,remote,1160413703
110000,local,63011276
110000,remote,1167242634
110000,local,66455407
110000,remote,1146888394
110000,local,61843312
110000,remote,1160049951
110000,local,62610347
110000,remote,1234930853
110000,local,65778755
110000,remote,1161413263
110000,local,61893206
110000,remote,1167147938
110000,local,66186658
110000,remote,1171977194
110000,local,64633108
110000,remote,1147654424
110000,local,67707528
110000,remote,1162803962
110000,local,62458921
110000,remote,1215531336
110000,local,66827756
110000,remote,1153447568
110000,local,64885388
110000,remote,1156039759
110000,local,66638141
110000,remote,1172447531
110000,local,61393245
110000,remote,1174349594
110000,local,64402662
110000,remote,1176387202
110000,local,63722932
110000,remote,1224312717
110000,local,65815464
110000,remote,1170470055
110000,local,61938906
110000,remote,1161813601
110000,local,65797429
110000,remote,1171146552
110000,local,64596266
110000,remote,1179997989
110000,local,65286311
110000,remote,1191857537
110000,local,64033083
110000,remote,1208043368
110000,local,63539074
110000,remote,1158396415
110000,local,61930715
110000,remote,1158750794
110000,local,67872062
110000,remote,1171847976
110000,local,64567481
110000,remote,1149008493
110000,local,64378141
110000,remote,1167646822
110000,local,63816551
110000,remote,1208478673
110000,local,65091404
110000,remote,1165822417
110000,local,61956854
110000,remote,1163356042
110000,local,66523799
110000,remote,1167921417
110000,local,64759581
110000,remote,1162812806
110000,local,66495903
110000,remote,1166626811
110000,local,63832122
110000,remote,1205611758
110000,local,63465114
110000,remote,1164474506
110000,local,61993600
110000,remote,1159453322
110000,local,66060019
110000,remote,1179197547
110000,local,62261499
110000,remote,1156867693
110000,local,66673611
110000,remote,1190331612
110000,local,62559253
110000,remote,1208959935
110000,local,67260609
110000,remote,1181660469
110000,local,65019644
110000,remote,1158623155
110000,local,67793787
110000,remote,1167610093
110000,local,65218855
110000,remote,1183064062
110000,local,65249248
110000,remote,1171348886
110000,local,62285988
110000,remote,1225100396
110000,local,66252084
