nbOpes,type,size
10000,content,12264
10000,rlsWithoutGC,1255152
10000,rlsWithGC,1255152
10000,ls,1297404
10000,ls,1407828
10000,content,12000
10000,ls,1513298
10000,content,11984
10000,ls,1298340
10000,content,12148
10000,ls,1411326
10000,content,11844
10000,ls,1502810
10000,content,11912
10000,content,12220
10000,rlsWithoutGC,1216060
10000,rlsWithGC,1216060
10000,content,12132
10000,rlsWithoutGC,1381904
10000,rlsWithGC,1381904
10000,content,12114
10000,rlsWithoutGC,1453744
10000,rlsWithGC,1453744
10000,content,11988
10000,rlsWithoutGC,1254364
10000,rlsWithGC,1254364
10000,content,11908
20000,ls,2872330
20000,content,24456
20000,ls,3148424
20000,content,23756
20000,ls,3184550
20000,content,23740
20000,ls,2799458
20000,content,24176
20000,ls,3098956
20000,content,23940
20000,ls,3316948
20000,content,23680
20000,rlsWithoutGC,2671640
20000,rlsWithGC,2671640
20000,content,24340
20000,rlsWithoutGC,2649748
20000,rlsWithGC,2649748
20000,content,24088
20000,rlsWithoutGC,2910306
20000,rlsWithGC,2910306
20000,content,24346
20000,rlsWithoutGC,3087056
20000,rlsWithGC,3087056
20000,content,23788
20000,rlsWithoutGC,2735648
20000,rlsWithGC,2735648
20000,content,23696
30000,ls,4591832
30000,content,36444
30000,ls,4894422
30000,content,35612
30000,ls,5015376
30000,content,35696
30000,ls,4489766
30000,content,36284
30000,ls,4871028
30000,content,36028
30000,ls,5244262
30000,content,35648
30000,rlsWithoutGC,4215982
30000,rlsWithGC,4215982
30000,content,36796
31000,rlsWithoutGC,2258572
31000,rlsWithGC,37664
30000,rlsWithoutGC,4208792
30000,rlsWithGC,4208792
30000,content,35912
31000,rlsWithoutGC,2261960
31000,rlsWithGC,36780
30000,rlsWithoutGC,4569054
30000,rlsWithGC,4569054
30000,content,36294
31000,rlsWithoutGC,2492346
31000,rlsWithGC,37162
30000,rlsWithoutGC,4757162
30000,rlsWithGC,4757162
30000,content,35472
31000,rlsWithoutGC,2597048
31000,rlsWithGC,36340
30000,rlsWithoutGC,4316902
30000,rlsWithGC,4316902
30000,content,35668
31000,rlsWithoutGC,2331558
31000,rlsWithGC,36532
40000,ls,6321112
40000,content,48740
40000,ls,6745766
40000,content,47384
40000,ls,6894176
40000,content,47616
40000,ls,6171242
40000,content,48336
40000,ls,6678204
40000,content,48028
40000,ls,7209372
40000,content,47604
40000,rlsWithoutGC,3240068
40000,rlsWithGC,1019160
40000,content,48552
40000,rlsWithoutGC,3230598
40000,rlsWithGC,1005418
40000,content,48024
40000,rlsWithoutGC,3472974
40000,rlsWithGC,1017790
40000,content,48626
40000,rlsWithoutGC,3608074
40000,rlsWithGC,1047366
40000,content,47712
40000,rlsWithoutGC,3290162
40000,rlsWithGC,995136
40000,content,47580
50000,ls,8061484
50000,content,60864
50000,ls,8662274
50000,content,59304
50000,ls,8817038
50000,content,59624
50000,ls,7877640
50000,content,60496
50000,ls,8543448
50000,content,59804
50000,ls,9200242
50000,content,59564
50000,rlsWithoutGC,4247822
50000,rlsWithGC,2026914
50000,content,60452
50000,rlsWithoutGC,4231128
50000,rlsWithGC,2005948
50000,content,60032
50000,rlsWithoutGC,4494424
50000,rlsWithGC,2039240
50000,content,60910
50000,rlsWithoutGC,4620576
50000,rlsWithGC,2059868
50000,content,59392
50000,rlsWithoutGC,4291574
50000,rlsWithGC,1996548
50000,content,59224
60000,ls,9827608
60000,content,72956
60000,ls,10705866
60000,content,71448
60000,ls,10827246
60000,content,71448
60000,ls,9667722
60000,content,72640
60000,ls,10415330
60000,content,71960
60000,ls,11200044
60000,content,71736
60000,rlsWithoutGC,5299614
60000,rlsWithGC,3078706
60000,content,72728
61000,rlsWithoutGC,3646910
61000,rlsWithGC,73770
60000,rlsWithoutGC,5254272
60000,rlsWithGC,3029092
60000,content,71972
61000,rlsWithoutGC,3625026
61000,rlsWithGC,73014
60000,rlsWithoutGC,5564626
60000,rlsWithGC,3109442
60000,content,72882
61000,rlsWithoutGC,3899280
61000,rlsWithGC,73924
60000,rlsWithoutGC,5699224
60000,rlsWithGC,3138516
60000,content,71312
61000,rlsWithoutGC,4013334
61000,rlsWithGC,72354
60000,rlsWithoutGC,5356380
60000,rlsWithGC,3061354
60000,content,71548
61000,rlsWithoutGC,3723808
61000,rlsWithGC,72584
70000,ls,11574958
70000,content,85028
70000,ls,12706610
70000,content,83636
70000,ls,12803082
70000,content,83336
70000,ls,11516484
70000,content,84652
70000,ls,12405712
70000,content,83788
70000,ls,13289600
70000,content,83632
70000,rlsWithoutGC,4641944
70000,rlsWithGC,1068804
70000,content,84548
70000,rlsWithoutGC,4619832
70000,rlsWithGC,1067820
70000,content,83784
70000,rlsWithoutGC,4872302
70000,rlsWithGC,1046946
70000,content,84942
70000,rlsWithoutGC,5019742
70000,rlsWithGC,1078762
70000,content,83072
70000,rlsWithoutGC,4725022
70000,rlsWithGC,1073798
70000,content,83328
80000,ls,13447100
80000,content,96916
80000,ls,14720456
80000,content,95460
80000,ls,14790152
80000,content,95184
80000,ls,13337676
