nbOpes,type,size,nbRenamingBots
10000,ls,1269566,1
10000,content,11916,1
10000,ls,1269566,2
10000,content,11916,2
10000,ls,1269566,3
10000,content,11916,3
10000,ls,1269566,4
10000,content,11916,4
10000,ls,1567604,1
10000,content,12084,1
10000,ls,1567604,2
10000,content,12084,2
10000,ls,1567604,3
10000,content,12084,3
10000,ls,1567604,4
10000,content,12084,4
10000,ls,1656854,1
10000,content,11920,1
10000,ls,1656854,2
10000,content,11920,2
10000,ls,1656854,3
10000,content,11920,3
10000,ls,1656854,4
10000,content,11920,4
10000,ls,1526820,1
10000,content,11844,1
10000,ls,1526820,2
10000,content,11844,2
10000,ls,1526820,3
10000,content,11844,3
10000,ls,1526820,4
10000,content,11844,4
10000,ls,1455582,1
10000,content,11992,1
10000,ls,1455582,2
10000,content,11992,2
10000,ls,1455582,3
10000,content,11992,3
10000,ls,1455582,4
10000,content,11992,4
10000,ls,1388230,1
10000,content,11972,1
10000,ls,1388230,2
10000,content,11972,2
10000,ls,1388230,3
10000,content,11972,3
10000,ls,1388230,4
10000,content,11972,4
10000,ls,1268506,1
10000,content,11920,1
10000,ls,1268506,2
10000,content,11920,2
10000,ls,1268506,3
10000,content,11920,3
10000,ls,1268506,4
10000,content,11920,4
10000,ls,1164526,1
10000,content,12160,1
10000,ls,1164526,2
10000,content,12160,2
10000,ls,1164526,3
10000,content,12160,3
10000,ls,1164526,4
10000,content,12160,4
10000,ls,1449792,1
10000,content,12144,1
10000,ls,1449792,2
10000,content,12144,2
10000,ls,1449792,3
10000,content,12144,3
10000,ls,1449792,4
10000,content,12144,4
10000,ls,1562912,1
10000,content,12180,1
10000,ls,1562912,2
10000,content,12180,2
10000,ls,1562912,3
10000,content,12180,3
10000,ls,1562912,4
10000,content,12180,4
10000,ls,1482854,1
10000,content,12076,1
10000,ls,1482854,2
10000,content,12076,2
10000,ls,1482854,3
10000,content,12076,3
10000,ls,1482854,4
10000,content,12076,4
10000,ls,1390046,1
10000,content,11796,1
10000,ls,1390046,2
10000,content,11796,2
10000,ls,1390046,3
10000,content,11796,3
10000,ls,1390046,4
10000,content,11796,4
10000,ls,1652388,1
10000,content,11700,1
10000,ls,1652388,2
10000,content,11700,2
10000,ls,1652388,3
10000,content,11700,3
10000,ls,1652388,4
10000,content,11700,4
10000,ls,1564490,1
10000,content,12092,1
10000,ls,1564490,2
10000,content,12092,2
10000,ls,1564490,3
10000,content,12092,3
10000,ls,1564490,4
10000,content,12092,4
10000,ls,1383440,1
10000,content,12128,1
10000,ls,1383440,2
10000,content,12128,2
10000,ls,1383440,3
10000,content,12128,3
10000,ls,1383440,4
10000,content,12128,4
10000,ls,1512694,1
10000,content,11864,1
10000,ls,1512694,2
10000,content,11864,2
10000,ls,1512694,3
10000,content,11864,3
10000,ls,1512694,4
10000,content,11864,4
10000,ls,1702724,1
10000,content,12000,1
10000,ls,1702724,2
10000,content,12000,2
10000,ls,1702724,3
10000,content,12000,3
10000,ls,1702724,4
10000,content,12000,4
10000,ls,1468042,1
10000,content,12252,1
10000,ls,1468042,2
10000,content,12252,2
10000,ls,1468042,3
10000,content,12252,3
10000,ls,1468042,4
10000,content,12252,4
10000,rlsWithoutGC,1380478,1
10000,rlsWithGC,1380478,1
10000,content,12032,1
10000,rlsWithoutGC,1605304,1
10000,rlsWithGC,1605304,1
10000,content,11984,1
10000,rlsWithoutGC,1324366,1
10000,rlsWithGC,1324366,1
10000,content,11988,1
10000,rlsWithoutGC,1751010,1
10000,rlsWithGC,1751010,1
10000,content,11880,1
10000,rlsWithoutGC,1421332,1
10000,rlsWithGC,1421332,1
10000,content,12172,1
10000,rlsWithoutGC,1607494,1
10000,rlsWithGC,1607494,1
10000,content,12060,1
10000,rlsWithoutGC,1836626,1
10000,rlsWithGC,1836626,1
10000,content,11780,1
10000,rlsWithoutGC,1361070,1
10000,rlsWithGC,1361070,1
10000,content,12024,1
10000,rlsWithoutGC,1461040,1
10000,rlsWithGC,1461040,1
10000,content,11900,1
10000,rlsWithoutGC,1397020,1
10000,rlsWithGC,1397020,1
10000,content,11936,1
10000,rlsWithoutGC,1232790,1
10000,rlsWithGC,1232790,1
10000,content,12048,1
10000,rlsWithoutGC,1779896,1
10000,rlsWithGC,1779896,1
10000,content,12056,1
10000,rlsWithoutGC,1430616,1
10000,rlsWithGC,1430616,1
10000,content,11944,1
10000,rlsWithoutGC,1585968,1
10000,rlsWithGC,1585968,1
10000,content,12074,1
10000,rlsWithoutGC,1421522,1
10000,rlsWithGC,1421522,1
10000,content,11712,1
10000,rlsWithoutGC,1273460,1
10000,rlsWithGC,1273460,1
10000,content,12232,1
10000,rlsWithoutGC,1606408,1
10000,rlsWithGC,1606408,1
10000,content,12148,1
10000,rlsWithoutGC,1365722,1
10000,rlsWithGC,1365722,1
10000,content,11820,1
10000,rlsWithoutGC,1298036,2
10000,rlsWithGC,1298036,2
10000,content,12152,2
10000,rlsWithoutGC,1714860,2
10000,rlsWithGC,1714860,2
10000,content,12184,2
10000,rlsWithoutGC,1499090,2
10000,rlsWithGC,1499090,2
10000,content,11884,2
10000,rlsWithoutGC,1503482,2
10000,rlsWithGC,1503482,2
10000,content,12220,2
10000,rlsWithoutGC,1590566,2
10000,rlsWithGC,1590566,2
10000,content,11988,2
10000,rlsWithoutGC,1296576,2
10000,rlsWithGC,1296576,2
10000,content,11948,2
10000,rlsWithoutGC,1564354,2
10000,rlsWithGC,1564354,2
10000,content,11956,2
10000,rlsWithoutGC,1308238,2
10000,rlsWithGC,1308238,2
10000,content,11704,2
10000,rlsWithoutGC,1436616,2
10000,rlsWithGC,1436616,2
10000,content,11972,2
10000,rlsWithoutGC,1435576,2
10000,rlsWithGC,1435576,2
10000,content,11816,2
10000,rlsWithoutGC,1675950,2
10000,rlsWithGC,1675950,2
10000,content,12072,2
10000,rlsWithoutGC,1293196,2
10000,rlsWithGC,1293196,2
10000,content,12248,2
10000,rlsWithoutGC,1336252,2
10000,rlsWithGC,1336252,2
10000,content,11880,2
10000,rlsWithoutGC,1607310,2
10000,rlsWithGC,1607310,2
10000,content,11888,2
10000,rlsWithoutGC,1329618,2
10000,rlsWithGC,1329618,2
10000,content,12004,2
10000,rlsWithoutGC,1409708,2
10000,rlsWithGC,1409708,2
10000,content,11956,2
10000,rlsWithoutGC,1733920,2
10000,rlsWithGC,1733920,2
10000,content,11964,2
10000,rlsWithoutGC,1404084,2
10000,rlsWithGC,1404084,2
10000,content,12060,2
10000,rlsWithoutGC,1383630,3
